HCD,CE,CECOM,117.0912,89.0598,77.0598,59.0492
1,4.0443,0.7807787873024011,40.8024358447567,13.41778419663726,25.985459196297313,19.794320762308732
5,4.741099999999999,0.915300622723194,40.73315928274567,13.431724433524629,25.822271142793902,20.012845140935802
10,5.6121,1.0834529169991853,39.85166439711244,13.759554537237454,25.727405449274972,20.661375616375143
15,6.4831,1.2516052112751768,32.46592546693575,16.10625461825138,24.980122451955193,26.447697462857672
20,7.3541,1.419757505551168,25.366568390365153,17.161536216188853,23.375693512313187,34.09620188113281
25,8.2251,1.587909799827159,18.84809687029159,17.859417353970937,21.253331440808953,42.03915433492852
30,9.0961,1.7560620941031504,13.587145930522352,16.830377439957317,19.37981178434152,50.202664845178816
35,9.967099999999999,1.9242143883791414,9.343412070516363,15.079663384070091,17.071224263489484,58.505700281924064
40,10.8381,2.092366682655133,6.003594627014067,12.927091637568877,14.406793078710015,66.66252065670703
50,12.580099999999998,2.428671271207115,1.640458874568014,8.037363119219606,10.482936914214465,79.83924109199792
80,17.8061,3.437585036863063,0.0,0.14483479984391145,0.23461209815305728,99.62055310200303
