HCD,CE,CECOM,135.1017,117.0912,89.0598,77.0598,59.0492
1,4.0443,0.6945683975303328,26.857704296650592,29.84383827974138,9.81407539394171,19.00636140522898,14.478020624437338
5,4.741099999999999,0.8142368838936431,26.87384549488922,29.78659299191347,9.822103561959935,18.882833892608105,14.634624058629269
10,5.6121,0.9638224918477811,25.557164251513548,29.666709070180463,10.243002583879093,19.152210180950917,15.380913913475977
15,6.4831,1.1134080998019191,15.46945271476191,27.443624478418275,13.614705175961827,21.115834221160362,22.35638340969762
20,7.3541,1.262993707756057,8.809383889140806,23.13193000135644,15.649710609630846,21.316438934064536,31.09253656580737
25,8.2251,1.412579315710195,5.071481156146323,17.892219189222548,16.953680368266777,20.175472741735007,39.90714654462935
30,9.0961,1.562164923664333,2.65291288211638,13.226690785819573,16.38388218874388,18.865682260984816,48.87083188233535
35,9.967099999999999,1.7117505316184705,0.8389043869360593,9.265029776767287,14.953159426405938,16.928013014239376,58.014893395651335
40,10.8381,1.8613361395726087,0.021815398491732477,6.002284918922356,12.92427154101475,14.403650179390015,66.64797796218114
50,12.580099999999998,2.1605073554808842,0.0,1.640458874568014,8.037363119219606,10.482936914214465,79.83924109199792
80,17.8061,3.0580210032057122,0.0,0.0,0.14483479984391145,0.23461209815305728,99.62055310200303
