HCD,CE,CECOM,135.102,117.092,89.06,59.05,77.06
1,4.0443,0.6945671200879867,41.9898319478753,22.780579008393598,12.481503115084243,0.0,22.748085928646862
5,4.741099999999999,0.8142353863583695,42.07919549490283,22.896953422670023,12.382813233545502,0.013519103498253898,22.627518745383394
10,5.6121,0.963820719196348,40.45280811046203,23.180058602782875,13.151893530917372,0.0,23.21523975583773
15,6.4831,1.1134060520343267,27.324936943747968,24.374978689865625,19.353111653420914,0.09739334916653727,28.849579363798956
20,7.3541,1.2629913848723051,17.77508849584166,23.215261746740026,25.627217916066193,0.18199196320501265,33.20043987814711
25,8.2251,1.4125767177102835,11.315025352440191,18.743186611061546,33.731960339764235,0.1686384832221046,36.04118921351193
30,9.0961,1.562162050548262,6.903038741178827,16.408864201545985,37.34928315081869,0.21256014953735664,39.12625375691914
35,9.967099999999999,1.7117473833862404,2.8718380698235992,13.45688903285088,41.29978625114354,0.11457064782068097,42.2569159983613
40,10.8381,1.8613327162242193,0.08288664671640973,10.023919638425031,45.134009285948814,0.18870070074198797,44.57048372816776
50,12.580099999999998,2.1605033819001758,0.0,5.170937049595248,42.60512265397554,0.21830587304468232,52.00563442338453
80,17.8061,3.0580153789280473,0.0,0.0,35.31893126165756,10.19566415125054,54.4854045870919
