HCD,CE,CECOM,135.102,59.05
1,4.0443,0.6945671200879867,100.0,0.0
5,4.741099999999999,0.8142353863583695,99.96788255728518,0.032117442714819415
10,5.6121,0.963820719196348,100.0,0.0
15,6.4831,1.1134060520343267,99.64483926739187,0.35516073260813347
20,7.3541,1.2629913848723051,98.98651696961504,1.0134830303849651
25,8.2251,1.4125767177102835,98.53149233872206,1.4685076612779366
30,9.0961,1.562162050548262,97.01275812757396,2.9872418724260394
35,9.967099999999999,1.7117473833862404,96.16359786442574,3.836402135574258
40,10.8381,1.8613327162242193,30.519332911525442,69.48066708847456
50,12.580099999999998,2.1605033819001758,0.0,100.0
80,17.8061,3.0580153789280473,0.0,100.0
