HCD,CE,CECOM,59.05
1,,,4219953.216796875
2,,,4184034.28125
3,,,3996774.08984375
4,,,4538905.72265625
5,,,4429743.8984375
6,,,5971956.5703125
7,,,7744146.33984375
8,,,6713891.6640625
9,,,2154337.0419921875
10,,,285553.27587890625
11,,,2894.2705078125
12,,,536531.70703125
13,,,638907.1494140625
14,,,256218.23278808594
15,,,480047.0546875
16,,,765593.8908691406
17,,,1761330.6796875
19,,,539941.4609375
20,,,795782.5847167969
21,,,495307.8041381836
22,,,527446.4248046875
23,,,412087.0988769531
24,,,584316.525390625
25,,,551194.1119384766
26,,,515941.0947265625
27,,,388367.9580078125
28,,,258943.01586914062
29,,,131099.39331054688
30,,,61355.93469238281
31,,,42098.663818359375
32,,,33528.98988342285
33,,,24188.79034423828
34,,,33661.87567138672
35,,,23865.910806655884
36,,,22754.02163696289
37,,,15150.937377929688
38,,,13589.154663085938
39,,,14054.4658203125
41,,,12500.83853149414
42,,,14093.783331871033
